price_series,horizon,estimation_window,abnormal,return_type,label,n_events,car,ci_low,ci_high,p_value,significant
coinbase,180,"(-250, -31)",False,simple,coinbase/180d/simple/raw/none,3,0.38815427986652656,-0.22815775675485966,1.0044663164879128,0.1134682627450046,False
bitstamp,180,"(-120, -31)",True,log,bitstamp/180d/log/abn/-120..-31,4,0.44557490145946,-1.5621874828613853,2.4533372857803055,0.530930964708859,False
stitched,180,"(-120, -31)",True,log,stitched/180d/log/abn/-120..-31,4,0.4472575884057294,-1.5609871532690853,2.4555023300805443,0.5295828919110864,False
bitstamp,180,"(-120, -31)",True,simple,bitstamp/180d/simple/abn/-120..-31,4,0.45591037244224963,-1.790151981644175,2.7019727265286746,0.5643024390169072,False
stitched,180,"(-120, -31)",True,simple,stitched/180d/simple/abn/-120..-31,4,0.457703694001943,-1.7874781620683757,2.7028855500722617,0.5627204777113768,False
bitstamp,180,"(-250, -31)",True,log,bitstamp/180d/log/abn/-250..-31,4,0.4766223279436081,-1.1781450689621555,2.1313897248493716,0.42692687708230825,False
stitched,180,"(-250, -31)",True,log,stitched/180d/log/abn/-250..-31,4,0.4773686115957043,-1.1769148362407191,2.1316520594321275,0.42616312842956555,False
binance,365,"(-120, -31)",True,log,binance/365d/log/abn/-120..-31,2,0.5112390803705698,-24.85103257508886,25.873510735829996,0.84037721554516,False
bitstamp,180,"(-250, -31)",True,simple,bitstamp/180d/simple/abn/-250..-31,4,0.548947444900585,-1.4216601419154165,2.5195550317165867,0.4406309570623711,False
stitched,180,"(-250, -31)",True,simple,stitched/180d/simple/abn/-250..-31,4,0.5497036754272437,-1.4200939108935229,2.5195012617480104,0.43989928246378573,False
coinbase,365,"(-250, -31)",True,simple,coinbase/365d/simple/abn/-250..-31,3,0.5635554636653223,-3.83963205564078,4.966742982971424,0.6371438141361409,False
coinbase,365,"(-250, -31)",True,log,coinbase/365d/log/abn/-250..-31,3,0.620464597954574,-4.015236172787544,5.256165368696692,0.6228565886314764,False
binance,365,"(-250, -31)",True,simple,binance/365d/simple/abn/-250..-31,2,0.6551427697344142,-21.744463353594618,23.054748893063447,0.7734821713680615,False
binance,365,"(-250, -31)",True,log,binance/365d/log/abn/-250..-31,2,0.7450451469472581,-22.797612280594112,24.28770257448863,0.7566059436761114,False
bitstamp,180,"(-250, -31)",False,log,bitstamp/180d/log/raw/none,4,0.8370128992406415,-0.7975494139008633,2.471575212382146,0.20166836400841984,False
